id,bank_id,latitude,longitude,changeset,uid,timestamp,version
0,17,39.8918702,32.8745712,45376992,1686268,2017-01-22T19:25:40Z,7
1,17,39.8847723,32.8537576,761071,11395,2008-11-17T16:42:34Z,8
2,9,39.9229752,32.8259795,13003201,861369,2012-09-05T22:39:19Z,5
3,3,39.9199525,32.8270518,13003201,861369,2012-09-05T22:39:19Z,5
4,21,39.8921615,32.8707429,375710,11395,2007-11-01T10:15:07Z,6
5,9,39.8913009,32.8716959,45376992,1686268,2017-01-22T19:25:41Z,8
6,21,39.8847462,32.8560256,37859830,1686268,2016-03-16T00:26:07Z,9
7,23,39.884915,32.855938,37859830,1686268,2016-03-16T00:26:07Z,9
8,9,39.9223375,32.8632834,375710,11395,2007-11-01T10:15:05Z,4
9,3,39.9032004,32.8604741,45288106,1686268,2017-01-19T04:40:22Z,7
10,1,39.8865333,32.8548469,612250,11395,2008-10-28T00:40:03Z,8
11,9,39.9089567,32.8573974,375710,11395,2007-11-01T10:15:03Z,2
12,2,39.9064264,32.8611171,45288745,1686268,2017-01-19T05:48:44Z,4
13,18,39.9058774,32.8609243,45288745,1686268,2017-01-19T05:48:44Z,6
14,5,39.9039311,32.8602759,45288106,1686268,2017-01-19T04:40:23Z,4
15,2,39.9038183,32.8602851,45288106,1686268,2017-01-19T04:40:23Z,4
16,17,39.9030881,32.8602205,45288106,1686268,2017-01-19T04:40:23Z,4
17,9,39.9029595,32.8602207,45288106,1686268,2017-01-19T04:40:23Z,4
18,2,39.924898,32.868909,375710,11395,2007-11-01T10:15:04Z,2
19,5,39.8913769,32.8729106,45376992,1686268,2017-01-22T19:25:41Z,3
20,4,39.8848093,32.8541549,45351477,1686268,2017-01-21T15:00:57Z,8
21,13,39.894453,32.8780004,45376992,1686268,2017-01-22T19:25:42Z,6
22,8,39.8913628,32.8715359,45376992,1686268,2017-01-22T19:25:42Z,4
23,8,39.8983664,32.7058192,512342,11395,2007-11-14T00:39:22Z,1
24,13,39.898668,32.7060105,512342,11395,2007-11-14T00:39:23Z,1
25,5,39.89761,32.7054147,512342,11395,2007-11-14T00:39:25Z,1
26,10,39.896989,32.7049324,1224557,11395,2009-05-17T17:05:19Z,2
27,13,39.8929528,32.8697278,45376992,1686268,2017-01-22T19:25:42Z,5
28,3,39.9079874,32.8617344,45288745,1686268,2017-01-19T05:48:44Z,5
29,13,39.898612,32.8607624,101706,11395,2008-02-11T16:05:01Z,1
30,5,39.8946923,32.8567934,391630,11395,2008-10-17T13:46:40Z,3
31,15,39.8929537,32.8561405,391630,11395,2008-10-17T13:46:47Z,3
32,2,39.8908605,32.8554815,391630,11395,2008-10-17T13:46:49Z,2
33,0,39.8887741,32.8548412,391630,11395,2008-10-17T13:46:35Z,2
34,18,39.8883157,32.8547719,391630,11395,2008-10-17T13:46:35Z,2
35,7,39.8867509,32.8548097,121107,11395,2008-02-14T09:45:02Z,1
36,9,39.9221143,32.8177942,290172,11395,2008-08-17T15:38:06Z,1
37,17,39.8757317,32.8632054,37896464,1686268,2016-03-17T13:33:57Z,2
38,10,39.8850301,32.8534622,45351477,1686268,2017-01-21T15:00:57Z,3
39,5,39.8850427,32.8536812,45351477,1686268,2017-01-21T15:00:57Z,3
